Date,Service description,Service ID,Cost ($),Savings programs ($),Other savings ($),Unrounded subtotal ($),Subtotal ($)
2025-12-31,Cloud Run,152E-C115-5142,1.64,0.00,0.00,1.641607,1.64
2025-12-31,Secret Manager,EE82-7A5E-871C,0.94,0.00,0.00,0.938666,0.94
2025-12-31,Gemini API,AEFD-7695-64FA,0.04,0.00,0.00,0.044560,0.04
2025-12-31,Artifact Registry,149C-F9EC-3994,0.03,0.00,0.00,0.032321,0.03
2025-12-31,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,0.00,0.000058,0.00
2025-12-30,Cloud Run,152E-C115-5142,1.64,0.00,0.00,1.642257,1.64
2025-12-30,Secret Manager,EE82-7A5E-871C,0.94,0.00,0.00,0.938667,0.94
2025-12-30,Artifact Registry,149C-F9EC-3994,0.03,0.00,0.00,0.032323,0.03
2025-12-30,Gemini API,AEFD-7695-64FA,0.01,0.00,0.00,0.014186,0.01
2025-12-30,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,0.00,0.000058,0.00
2025-12-29,Cloud Run,152E-C115-5142,1.64,0.00,0.00,1.641607,1.64
2025-12-29,Secret Manager,EE82-7A5E-871C,0.94,0.00,0.00,0.938667,0.94
2025-12-29,Artifact Registry,149C-F9EC-3994,0.03,0.00,0.00,0.032332,0.03
2025-12-29,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,0.00,0.000058,0.00
2025-12-28,Cloud Run,152E-C115-5142,1.64,0.00,0.00,1.642304,1.64
2025-12-28,Secret Manager,EE82-7A5E-871C,0.94,0.00,0.00,0.938670,0.94
2025-12-28,Gemini API,AEFD-7695-64FA,0.04,0.00,0.00,0.038752,0.04
2025-12-28,Artifact Registry,149C-F9EC-3994,0.03,0.00,0.00,0.032336,0.03
2025-12-28,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,0.00,0.000058,0.00
2025-12-27,Cloud Run,152E-C115-5142,1.64,0.00,0.00,1.643817,1.64
2025-12-27,Secret Manager,EE82-7A5E-871C,0.94,0.00,0.00,0.938674,0.94
2025-12-27,Gemini API,AEFD-7695-64FA,0.09,0.00,0.00,0.088377,0.09
2025-12-27,Artifact Registry,149C-F9EC-3994,0.03,0.00,0.00,0.031495,0.03
2025-12-27,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,0.00,0.000255,0.00
2025-12-27,Cloud Build,8B5D-EF7D-EB12,0.00,0.00,0.00,0.000120,0.00
2025-12-26,Cloud Run,152E-C115-5142,1.64,0.00,0.00,1.641609,1.64
2025-12-26,Secret Manager,EE82-7A5E-871C,0.94,0.00,0.00,0.938667,0.94
2025-12-26,Artifact Registry,149C-F9EC-3994,0.03,0.00,0.00,0.029988,0.03
2025-12-26,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,0.00,0.000055,0.00
2025-12-25,Cloud Run,152E-C115-5142,1.64,0.00,0.00,1.641607,1.64
2025-12-25,Secret Manager,EE82-7A5E-871C,0.94,0.00,0.00,0.938667,0.94
2025-12-25,Artifact Registry,149C-F9EC-3994,0.03,0.00,0.00,0.029988,0.03
2025-12-25,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,0.00,0.000055,0.00
2025-12-24,Cloud Run,152E-C115-5142,1.64,0.00,0.00,1.642235,1.64
2025-12-24,Secret Manager,EE82-7A5E-871C,0.94,0.00,0.00,0.935547,0.94
2025-12-24,Gemini API,AEFD-7695-64FA,0.05,0.00,0.00,0.050614,0.05
2025-12-24,Artifact Registry,149C-F9EC-3994,0.03,0.00,0.00,0.029823,0.03
2025-12-24,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,0.00,0.000104,0.00
2025-12-24,Cloud Build,8B5D-EF7D-EB12,0.00,0.00,0.00,0.000028,0.00
2025-12-23,Cloud Run,152E-C115-5142,1.64,0.00,0.00,1.641605,1.64
2025-12-23,Secret Manager,EE82-7A5E-871C,0.93,0.00,0.00,0.927053,0.93
2025-12-23,Artifact Registry,149C-F9EC-3994,0.03,0.00,0.00,0.029391,0.03
2025-12-23,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,0.00,0.000054,0.00
2025-12-22,Cloud Run,152E-C115-5142,1.65,0.00,0.00,1.646085,1.65
2025-12-22,Secret Manager,EE82-7A5E-871C,0.92,0.00,0.00,0.916856,0.92
2025-12-22,Gemini API,AEFD-7695-64FA,0.31,0.00,0.00,0.310953,0.31
2025-12-22,Artifact Registry,149C-F9EC-3994,0.03,0.00,0.00,0.027282,0.03
2025-12-22,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,0.00,0.000496,0.00
2025-12-22,Cloud Build,8B5D-EF7D-EB12,0.00,0.00,0.00,0.000264,0.00
2025-12-21,Cloud Run,152E-C115-5142,3.01,0.00,0.00,3.006278,3.01
2025-12-21,Secret Manager,EE82-7A5E-871C,0.90,0.00,0.00,0.898485,0.90
2025-12-21,Gemini API,AEFD-7695-64FA,0.15,0.00,0.00,0.146648,0.15
2025-12-21,Artifact Registry,149C-F9EC-3994,0.02,0.00,0.00,0.021293,0.02
2025-12-21,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,0.00,0.000531,0.00
2025-12-21,Cloud Build,8B5D-EF7D-EB12,0.00,0.00,0.00,0.000282,0.00
2025-12-20,Cloud Run,152E-C115-5142,3.33,0.00,0.00,3.329396,3.33
